fighter_f_name,fighter_l_name,fighter_nickname,fighter_height_cm,fighter_weight_lbs,fighter_reach_cm,fighter_stance,fighter_dob,fighter_SLpM,fighter_Str. Acc.,fighter_SApM,fighter_Str. Def,fighter_TD Avg.,fighter_TD Acc.,fighter_TD Def.,fighter_Sub. Avg.,fighter_w,fighter_l,fighter_d,fighter_nc_dq,fighter_url
Anthony,Birchak,El Toro,172.72,135,175.26,Orthodox,1986-05-16,3.93,36%,3.67,56%,0.48,14%,61%,0.5,16,8,0,NULL,http://ufcstats.com/fighter-details/c5a126ace82a6025
Chris,Birchler,The Big Buck,190.5,205,NULL,Switch,1987-06-05,9.35,46%,14.83,35%,0.00,0%,0%,0.0,7,4,0,NULL,http://ufcstats.com/fighter-details/8a22c6b4d29880a3
Angad,Bisht,NULL,170.18,125,170.18,Orthodox,1995-06-05,3.91,51%,4.56,33%,2.41,37%,100%,0.0,10,3,0,NULL,http://ufcstats.com/fighter-details/7b4ae3fd439a05b6
Michael,Bisping,The Count,185.42,185,190.5,Orthodox,1979-02-28,4.33,38%,2.71,65%,1.05,43%,63%,0.3,30,9,0,NULL,http://ufcstats.com/fighter-details/2b93ebd9f5417ad2
Amaury,Bitetti,NULL,175.26,185,NULL,Orthodox,NULL,0.00,0%,0.00,0%,0.00,0%,0%,0.0,5,2,0,NULL,http://ufcstats.com/fighter-details/7a359ef685a304a7
Caio,Bittencourt,Leao,182.88,185,190.5,Orthodox,1991-05-22,0.29,16%,0.57,33%,0.00,0%,0%,0.0,14,7,0,NULL,http://ufcstats.com/fighter-details/a653cb5eb4b39339
Davi,Bittencourt,The Black,165.1,135,165.1,Orthodox,1994-10-12,4.15,66%,1.51,46%,14.15,33%,0%,0.0,14,4,0,NULL,http://ufcstats.com/fighter-details/dd6ec6f941c3a414
Simon,Biyong,NULL,NULL,205,NULL,,1991-04-05,0.00,0%,0.00,0%,0.00,0%,0%,0.0,7,1,0,NULL,http://ufcstats.com/fighter-details/27ab7257bf6a3b65
Jan,Blachowicz,NULL,187.96,205,198.12,Orthodox,1983-02-24,3.41,50%,2.91,53%,1.09,50%,68%,0.3,29,10,1,NULL,http://ufcstats.com/fighter-details/99df7d0a2a08a8a8
Jason,Black,The Black Legion,172.72,155,NULL,Orthodox,1972-07-15,1.06,47%,2.60,45%,0.48,33%,28%,6.2,23,4,1,NULL,http://ufcstats.com/fighter-details/b2f743746e8dcfa2
Brad,Blackburn,Bad Brad,177.8,170,185.42,Orthodox,1977-05-25,4.55,35%,3.59,65%,0.93,50%,76%,0.7,18,13,1,1,http://ufcstats.com/fighter-details/7e69a4b0961aa555
Jason,Blackford,NULL,NULL,NULL,NULL,,NULL,0.00,0%,0.00,0%,0.00,0%,0%,0.0,3,3,0,NULL,http://ufcstats.com/fighter-details/619d807fa54ae8f7
Tom,Blackledge,NULL,NULL,205,NULL,Orthodox,NULL,2.91,61%,2.55,46%,0.00,0%,75%,0.0,10,7,0,NULL,http://ufcstats.com/fighter-details/2adb11835acd815b
Sherrard,Blackledge,The Thriller,180.34,155,190.5,Orthodox,1993-08-16,3.70,49%,3.13,55%,4.00,33%,42%,0.0,5,1,0,NULL,http://ufcstats.com/fighter-details/0e5c79b3594ff0ad
Da'Mon,Blackshear,The Monster,177.8,135,182.88,Switch,1994-08-12,4.30,47%,4.06,49%,2.17,37%,68%,1.4,15,7,1,NULL,http://ufcstats.com/fighter-details/da22387a0407a2dc
Chasen,Blair,Mestizo,177.8,155,180.34,Orthodox,1998-10-14,5.27,39%,5.27,59%,0.00,0%,100%,0.0,6,3,0,NULL,http://ufcstats.com/fighter-details/0f4a536507f33576
Erin,Blanchfield,Cold Blooded,162.56,125,167.64,Orthodox,1999-05-04,5.24,44%,4.21,59%,1.86,31%,80%,0.8,13,2,0,NULL,http://ufcstats.com/fighter-details/669970f7feba8ecd
Maximo,Blanco,Maxi,172.72,145,180.34,Orthodox,1983-10-16,4.11,44%,3.19,66%,1.85,36%,63%,0.3,12,8,1,1,http://ufcstats.com/fighter-details/4a1329cc8eb0928a
David,Blanco,NULL,170.18,145,NULL,,NULL,0.00,0%,0.00,0%,0.00,0%,0%,0.0,2,0,0,NULL,http://ufcstats.com/fighter-details/ebf298f8ac7e232b
Curtis,Blaydes,Razor,193.04,265,203.2,Orthodox,1991-02-18,3.54,50%,1.91,58%,5.69,53%,31%,0.0,18,5,0,1,http://ufcstats.com/fighter-details/fa6796c55d6c5440
Tereza,Bleda,NULL,175.26,125,180.34,Orthodox,2001-11-30,3.02,53%,1.86,46%,1.81,27%,83%,0.7,7,1,0,NULL,http://ufcstats.com/fighter-details/59c438c81fbf3ece
Arlene,Blencowe,Angerfist,165.1,145,NULL,,1983-04-11,2.31,43%,2.10,43%,0.00,0%,55%,0.6,9,6,0,NULL,http://ufcstats.com/fighter-details/35d6337320a4ae48
Byron,Bloodworth,NULL,172.72,135,NULL,Orthodox,1983-08-16,1.82,28%,5.18,50%,0.00,0%,0%,0.0,6,3,0,NULL,http://ufcstats.com/fighter-details/ecdf14f4f8643d39
Dashawn,Boatwright,"Buck, the 400-pound Silverback",182.88,205,NULL,Orthodox,1988-02-29,0.00,0%,52.50,12%,0.00,0%,0%,0.0,3,1,0,NULL,http://ufcstats.com/fighter-details/046a85108610c0d2
Dan,Bobish,NULL,187.96,345,NULL,Southpaw,1970-01-26,2.06,44%,1.74,34%,2.44,42%,0%,1.6,17,9,0,NULL,http://ufcstats.com/fighter-details/f348d05403fad037
Mark,Bocek,NULL,172.72,155,190.5,Orthodox,1981-10-24,2.34,43%,2.32,60%,3.65,36%,31%,1.3,12,5,0,NULL,http://ufcstats.com/fighter-details/cf9d24e4bd0cf2ce
Kyle,Bochniak,Killer B,170.18,145,177.8,Orthodox,1987-02-05,2.63,31%,5.11,58%,1.14,15%,62%,0.0,8,5,0,NULL,http://ufcstats.com/fighter-details/c5af5750e8bae4f0
James,Bochnovic,NULL,193.04,205,205.74,Orthodox,1989-02-13,0.65,26%,3.64,21%,0.00,0%,0%,0.0,8,3,0,NULL,http://ufcstats.com/fighter-details/984d15d5dc7bfcf9
Jeremy,Boczulak,NULL,NULL,NULL,NULL,,NULL,0.00,0%,0.00,0%,0.00,0%,0%,0.0,0,2,0,NULL,http://ufcstats.com/fighter-details/1afd74f8cb0719f3
Tim,Boetsch,The Barbarian,182.88,185,187.96,Orthodox,1981-01-28,2.93,50%,2.90,57%,1.45,34%,59%,0.8,21,13,0,NULL,http://ufcstats.com/fighter-details/c80095f6092271a7
Galore,Bofando,NULL,180.34,170,182.88,Switch,1982-05-22,3.63,45%,3.63,54%,2.37,100%,50%,0.0,5,3,0,NULL,http://ufcstats.com/fighter-details/8a56ea383fd26e52
Jay,Bogan,NULL,NULL,145,NULL,,NULL,0.00,0%,0.00,0%,0.00,0%,0%,0.0,6,6,0,NULL,http://ufcstats.com/fighter-details/53c21779d84ceb75
Roman,Bogatov,NULL,172.72,155,185.42,Orthodox,1990-12-15,3.33,42%,4.40,44%,1.00,9%,50%,0.0,10,1,0,NULL,http://ufcstats.com/fighter-details/d61316139d68dbe3
Derek,Bohi,Marshmallow,193.04,260,NULL,,NULL,0.00,0%,0.00,0%,0.00,0%,0%,0.0,8,5,0,NULL,http://ufcstats.com/fighter-details/70a1c7626b5e0599
Jerry,Bohlander,NULL,180.34,199,NULL,Orthodox,1974-02-12,0.00,0%,0.00,0%,0.00,0%,0%,0.0,11,4,0,NULL,http://ufcstats.com/fighter-details/93892752c5fc23ca
Mandy,Bohm,Monster,170.18,125,180.34,Orthodox,1989-07-30,2.51,45%,3.24,60%,0.72,18%,75%,0.7,8,2,0,1,http://ufcstats.com/fighter-details/297a2b35444c245b
Kotetsu,Boku,NULL,175.26,154,NULL,Orthodox,1977-05-27,2.47,42%,2.80,53%,0.00,0%,0%,0.0,25,11,2,NULL,http://ufcstats.com/fighter-details/d227958e8a0c1466
Gaston,Bolanos,The Dreamkiller,170.18,135,175.26,Orthodox,1992-09-14,3.74,50%,2.57,52%,0.78,100%,42%,0.0,8,4,0,NULL,http://ufcstats.com/fighter-details/96924b0019b3aff1
Kyle,Bolt,NULL,187.96,185,NULL,,NULL,7.27,52%,7.27,45%,0.00,0%,0%,0.0,8,4,0,NULL,http://ufcstats.com/fighter-details/9d455d5cfe6a0e35
Denys,Bondar,Psycho,167.64000000000001,125,175.26,Orthodox,1992-06-27,4.59,50%,5.16,56%,3.99,58%,62%,0.0,14,5,0,NULL,http://ufcstats.com/fighter-details/2526be54e6a0e62a
Luc,Bondole,NULL,187.96,205,NULL,,NULL,3.35,51%,2.04,62%,0.00,0%,0%,1.8,5,2,2,NULL,http://ufcstats.com/fighter-details/8691881b31c16b88
Tony,Bonello,The Gun,187.96,185,NULL,,NULL,0.62,33%,12.62,10%,0.00,0%,0%,0.0,16,3,1,1,http://ufcstats.com/fighter-details/702a72aa7a266d86
Gabriel,Bonfim,Marretinha,185.42,170,182.88,Orthodox,1997-08-20,5.78,42%,4.38,62%,2.92,75%,73%,1.9,16,1,0,NULL,http://ufcstats.com/fighter-details/01641ba5df0c69b0
Ismael,Bonfim,Marreta,172.72,155,180.34,Orthodox,1995-12-28,5.80,54%,3.16,70%,1.07,33%,76%,0.0,20,4,0,NULL,http://ufcstats.com/fighter-details/eb393afdbe3293d5
Jesse,Bongfeldt,Water,182.88,185,NULL,Orthodox,1980-08-28,2.91,62%,1.01,50%,1.51,33%,33%,0.0,16,5,1,NULL,http://ufcstats.com/fighter-details/934de214814b8ff4
Marcos,Bonilla,Murder Marx,177.8,145,NULL,,NULL,0.47,12%,0.47,94%,0.00,0%,0%,0.0,4,4,0,NULL,http://ufcstats.com/fighter-details/d311fbefff44a39b
Stephan,Bonnar,The American Psycho,193.04,205,200.66,Orthodox,1977-04-04,2.76,38%,3.01,52%,1.32,40%,60%,1.0,15,9,0,NULL,http://ufcstats.com/fighter-details/c6a33ff198aaaeeb
Rogerio,Bontorin,NULL,165.1,125,170.18,Orthodox,1992-04-25,2.63,52%,3.27,50%,2.90,60%,51%,1.0,16,4,0,2,http://ufcstats.com/fighter-details/07a2bdaa0afdd831
Ray,Borg,The Tazmexican Devil,162.56,135,160.02,Orthodox,1993-08-04,1.52,52%,1.93,48%,3.89,50%,46%,1.0,13,5,0,NULL,http://ufcstats.com/fighter-details/a4de54ea806fb525
Igor,Borisov,NULL,182.88,235,NULL,Orthodox,NULL,0.00,0%,0.00,0%,0.00,0%,0%,0.0,1,1,0,NULL,http://ufcstats.com/fighter-details/0313bf497de9c470
Kevin,Borjas,El Gallo Negro,165.1,125,172.72,Orthodox,1997-12-06,4.92,40%,6.70,49%,0.00,0%,61%,0.0,9,3,0,NULL,http://ufcstats.com/fighter-details/34b96d52db1d26e6
Calen,Born,NULL,172.72,170,182.88,Switch,1988-05-24,0.00,0%,0.00,0%,0.00,0%,0%,0.0,7,1,0,NULL,http://ufcstats.com/fighter-details/3c85e04b08a05751
Caio,Borralho,The Natural,185.42,185,190.5,Southpaw,1993-01-16,3.61,60%,2.34,62%,1.56,60%,76%,0.5,17,1,0,1,http://ufcstats.com/fighter-details/4126a78111c0855a
Zachary,Borrego,The Dragon,187.96,185,198.12,Switch,1996-07-18,0.00,0%,1.94,33%,0.00,0%,0%,0.0,3,1,0,NULL,http://ufcstats.com/fighter-details/b8fdb2903a2582a8
Viacheslav,Borshchev,Slava Claus,180.34,155,175.26,Orthodox,1992-01-08,5.40,53%,4.80,56%,0.00,0%,35%,0.0,8,4,1,NULL,http://ufcstats.com/fighter-details/19c591115a58982c
Tanner,Boser,The Bulldozer,187.96,205,190.5,Orthodox,1991-08-02,4.70,52%,2.75,58%,0.00,0%,63%,0.0,21,10,1,NULL,http://ufcstats.com/fighter-details/04c8b08b16a5b99e
Steve,Bosse,The Boss,180.34,205,182.88,Orthodox,1981-07-29,5.99,52%,5.38,50%,0.92,33%,100%,0.0,12,2,0,NULL,http://ufcstats.com/fighter-details/e023fa2e648ea0f1
Marcus,Bossett,The Grasshopper,185.42,215,NULL,Orthodox,NULL,0.00,0%,0.00,0%,0.00,0%,0%,0.0,1,3,0,NULL,http://ufcstats.com/fighter-details/e8fb8e53bc2e29d6
Chris,Bostick,NULL,NULL,NULL,NULL,,NULL,0.00,0%,0.00,0%,0.00,0%,0%,0.0,6,3,0,NULL,http://ufcstats.com/fighter-details/239224bedeb2c7a4
Poliana,Botelho,NULL,172.72,125,170.18,Orthodox,1988-12-15,2.90,58%,2.80,54%,0.85,57%,76%,0.0,8,5,0,NULL,http://ufcstats.com/fighter-details/5c126c6aac3ef364
Francois,Botha,White Buffalo,187.96,260,NULL,Orthodox,1968-09-28,0.00,0%,1.05,77%,0.00,0%,0%,0.0,0,1,0,NULL,http://ufcstats.com/fighter-details/545d549d6bf87187
Gregory,Bouchelaghem,NULL,187.96,183,NULL,Switch,NULL,0.27,21%,1.53,36%,0.00,0%,50%,0.0,5,4,0,NULL,http://ufcstats.com/fighter-details/59851163aaf1aed8
Roy,Boughton,Black Dynamite,182.88,205,NULL,,NULL,0.00,0%,0.00,0%,0.00,0%,0%,0.0,14,8,0,NULL,http://ufcstats.com/fighter-details/2aaf0181432adf0b
Rich,Bouphanouvong,NULL,170.18,170,NULL,,NULL,0.00,0%,0.00,0%,0.00,0%,0%,0.0,1,4,0,NULL,http://ufcstats.com/fighter-details/611b9c068c9e2c44
Mike,Bourke,The Rhino,182.88,275,NULL,Orthodox,NULL,0.00,0%,0.00,0%,0.00,0%,0%,0.0,10,16,1,1,http://ufcstats.com/fighter-details/dfdd0c5dd0d4bc23
Jess,Bouscal,NULL,NULL,155,NULL,,NULL,0.00,0%,0.00,0%,0.00,0%,0%,0.0,3,2,0,NULL,http://ufcstats.com/fighter-details/38b1417ec17072da
Tai,Bowden,NULL,180.34,230,NULL,,NULL,0.00,0%,0.00,0%,0.00,0%,0%,0.0,1,1,0,NULL,http://ufcstats.com/fighter-details/2efbc83a6b9b7f86
Melton,Bowen,The Punisher,182.88,225,NULL,Orthodox,1969-07-16,0.00,0%,0.00,0%,0.00,0%,0%,0.0,0,1,0,NULL,http://ufcstats.com/fighter-details/81ca2c245b19b3c5
Kyron,Bowen,Bullseye,190.5,185,185.42,Orthodox,1993-12-22,2.73,57%,2.05,40%,0.00,0%,0%,0.0,9,5,0,NULL,http://ufcstats.com/fighter-details/5488b3c67600333a
Brian,Bowles,NULL,170.18,135,177.8,Orthodox,1980-06-22,2.36,26%,2.98,64%,1.39,70%,54%,1.4,10,3,0,NULL,http://ufcstats.com/fighter-details/b26d3e3746fb4024
Roger,Bowling,Relentless,175.26,155,172.72,Orthodox,1982-12-05,3.90,47%,3.86,51%,3.09,43%,27%,0.9,12,6,0,1,http://ufcstats.com/fighter-details/3b9f723e2720a238
Blake,Bowman,NULL,187.96,170,NULL,,NULL,0.00,0%,0.00,0%,0.00,0%,0%,0.0,2,6,0,NULL,http://ufcstats.com/fighter-details/a95a0504fd73bd3e
Ashe,Bowman,The Archer,175.26,155,NULL,,1976-11-17,2.43,42%,4.86,57%,0.00,0%,0%,0.0,9,11,0,NULL,http://ufcstats.com/fighter-details/8a0a35e7c74bebcc
Anvar,Boynazarov,The Uzbek,175.26,145,NULL,Orthodox,1989-01-10,0.00,0%,7.83,29%,0.00,0%,0%,0.0,3,1,0,NULL,http://ufcstats.com/fighter-details/4a191f4ea2fce7fc
Colley,Bradford,NULL,170.18,145,NULL,,NULL,0.43,25%,1.73,50%,19.42,50%,100%,0.0,0,1,0,NULL,http://ufcstats.com/fighter-details/1433786ac76cf777
Kyle,Bradley,NULL,175.26,155,180.34,Orthodox,1982-08-19,1.99,40%,3.45,58%,0.65,50%,40%,0.0,19,12,0,1,http://ufcstats.com/fighter-details/a6959da32f0e6b5d
Paul,Bradley,The Gentleman,175.26,170,NULL,Orthodox,1983-06-13,2.26,32%,4.13,56%,1.12,16%,100%,0.0,23,8,0,2,http://ufcstats.com/fighter-details/c7011de4765d2497
Sean,Brady,NULL,177.8,170,182.88,Orthodox,1992-11-23,4.09,55%,3.18,60%,3.49,52%,85%,0.9,17,1,0,NULL,http://ufcstats.com/fighter-details/45f7cb591c3ab00b
Ebenezer,Fontes Braga,Pitbull,182.88,199,NULL,Orthodox,1969-04-14,2.42,50%,0.42,71%,0.00,0%,90%,0.6,13,7,2,NULL,http://ufcstats.com/fighter-details/dc950d59dc590aca
Ramiz,Brahimaj,NULL,177.8,170,182.88,Orthodox,1992-11-17,2.26,44%,4.04,43%,1.51,35%,44%,1.5,11,5,0,NULL,http://ufcstats.com/fighter-details/3d074044a33825e7
Adam,Bramhald,Samurai,177.8,135,177.8,Orthodox,1994-03-24,7.65,45%,8.05,33%,0.00,0%,100%,0.0,13,3,0,NULL,http://ufcstats.com/fighter-details/3c99bd6cb5d835ef
Joe,Brammer,The South Side Strangler,172.72,155,NULL,Orthodox,1983-08-23,2.15,31%,2.80,56%,0.81,50%,50%,0.0,7,3,1,NULL,http://ufcstats.com/fighter-details/013da757877044a2
David,Branch,NULL,185.42,185,198.12,Orthodox,1981-09-26,1.66,39%,1.91,56%,2.55,32%,43%,0.0,22,6,0,NULL,http://ufcstats.com/fighter-details/d2c55d1d2e67773b
Billy,Brand,NULL,167.64000000000001,135,165.1,Orthodox,1996-07-03,2.86,25%,8.57,40%,0.00,0%,75%,0.0,5,2,0,NULL,http://ufcstats.com/fighter-details/edae6db2b3453632
Diego,Brandao,DB,170.18,145,162.56,Orthodox,1987-05-27,2.94,47%,3.38,62%,3.21,68%,80%,0.6,22,11,0,NULL,http://ufcstats.com/fighter-details/c2e3e67b5911bfb7
Bruna,Brasil,NULL,167.64000000000001,115,165.1,Orthodox,1993-09-07,2.94,61%,3.49,50%,1.93,72%,59%,0.0,10,4,1,NULL,http://ufcstats.com/fighter-details/7138a15258dabf20
Michael,Bravo,NULL,NULL,155,NULL,,NULL,0.00,0%,0.00,0%,0.00,0%,0%,0.0,7,4,0,NULL,http://ufcstats.com/fighter-details/dc63542668295c23
Martin,Bravo,El Toro,172.72,145,180.34,Southpaw,1993-09-21,7.66,39%,5.72,51%,2.60,35%,85%,0.0,11,3,0,NULL,http://ufcstats.com/fighter-details/9c44f290f5726d95
Roman,Bravo-Young,NULL,NULL,205,NULL,,NULL,0.00,0%,0.00,0%,0.00,0%,0%,0.0,0,1,0,NULL,http://ufcstats.com/fighter-details/37ce890a4670b287
Mike,Breeden,Money,177.8,155,177.8,Orthodox,1989-04-21,5.75,45%,7.28,42%,0.98,30%,67%,0.0,11,6,0,NULL,http://ufcstats.com/fighter-details/d80ee110748171ac
Tom,Breese,NULL,190.5,185,185.42,Southpaw,1991-09-26,3.34,50%,2.81,60%,0.00,0%,70%,1.1,12,3,0,NULL,http://ufcstats.com/fighter-details/1588b787bda7b540
Elves,Brener,NULL,177.8,155,182.88,Orthodox,1997-09-27,3.99,47%,5.30,48%,1.23,23%,76%,0.0,16,5,0,NULL,http://ufcstats.com/fighter-details/48a9a128784d53d1
Chris,Brennan,The Westside Strangler,172.72,170,NULL,Orthodox,1971-10-12,0.60,40%,0.97,50%,0.00,0%,25%,2.1,21,13,1,NULL,http://ufcstats.com/fighter-details/b19fc66613dc75b9
Charlie,Brenneman,The Spaniard,177.8,155,177.8,Orthodox,1981-02-09,1.52,56%,1.55,46%,4.23,42%,72%,0.0,19,8,0,NULL,http://ufcstats.com/fighter-details/98f6da59d765ec94
Robert,Breslin,The Bullet,180.34,155,NULL,,NULL,2.21,46%,3.50,66%,1.38,100%,50%,0.0,3,9,0,NULL,http://ufcstats.com/fighter-details/e319d6697d41f3cf
Mack,Brewer,NULL,NULL,205,NULL,,NULL,0.00,0%,6.67,36%,0.00,0%,0%,0.0,0,1,0,NULL,http://ufcstats.com/fighter-details/106a925d947a0de9
Marcos,Brigagao,Ironside,190.5,205,193.04,Southpaw,1996-04-01,3.07,43%,3.27,25%,0.00,0%,36%,0.0,11,1,0,NULL,http://ufcstats.com/fighter-details/11547e29f253fb89
Jason,Brilz,Hitman,180.34,205,180.34,Orthodox,1975-07-07,2.66,40%,1.78,65%,2.37,25%,25%,1.3,22,6,1,NULL,http://ufcstats.com/fighter-details/497ba5b12a4bfc47
Marcus,Brimage,The Bama Beast,162.56,135,180.34,Southpaw,1985-04-06,3.97,35%,3.64,56%,0.56,100%,80%,0.0,7,7,0,NULL,http://ufcstats.com/fighter-details/81801f57bd0a7c41
Aaron,Brink,NULL,190.5,205,NULL,Orthodox,1974-11-12,3.49,42%,5.71,57%,0.00,0%,0%,0.0,26,26,0,2,http://ufcstats.com/fighter-details/cf1a88371c8cb690
Henry,Briones,Bure,172.72,135,175.26,Orthodox,1980-10-22,3.47,42%,4.68,53%,0.00,0%,52%,0.6,16,8,1,NULL,http://ufcstats.com/fighter-details/01fcef7e3d051722
Marcelo,Brito,Jungle Boy,185.42,170,NULL,Orthodox,1977-11-27,0.60,20%,3.53,55%,0.00,0%,50%,0.0,13,8,0,NULL,http://ufcstats.com/fighter-details/3a97fda0de6f1fa4
Joanderson,Brito,Tubarao,172.72,145,182.88,Orthodox,1995-02-11,3.02,50%,2.70,44%,3.08,68%,72%,0.9,17,4,1,NULL,http://ufcstats.com/fighter-details/791c8437b341fba5
Kaik,Brito,NULL,180.34,170,182.88,Orthodox,1997-03-26,2.80,38%,3.87,55%,0.00,0%,55%,2.0,16,5,0,NULL,http://ufcstats.com/fighter-details/b07f14fc0e53f8bd
Icaro,Brito,NULL,NULL,145,NULL,,1999-03-09,0.00,0%,0.00,0%,0.00,0%,0%,0.0,7,1,0,NULL,http://ufcstats.com/fighter-details/06dd61c8d545c63f
Antwain,Britt,The Juggernaut,185.42,205,195.58,,1978-05-09,1.46,39%,2.81,44%,1.56,40%,50%,0.0,11,6,0,NULL,http://ufcstats.com/fighter-details/2833f50b20e96e52
Drew,Brokenshire,NULL,NULL,NULL,NULL,,NULL,0.00,0%,0.00,0%,0.00,0%,0%,0.0,16,6,0,NULL,http://ufcstats.com/fighter-details/aa571d75f80fde7d
Mike,Bronzoulis,The Greek,182.88,155,NULL,,1979-01-05,1.13,34%,2.54,37%,0.00,0%,33%,0.0,18,9,1,NULL,http://ufcstats.com/fighter-details/df3c39573d01f55b
Jonathan,Brookins,NULL,182.88,145,187.96,Southpaw,1985-08-13,2.69,39%,3.63,56%,1.94,17%,80%,0.3,16,10,0,NULL,http://ufcstats.com/fighter-details/b0a6124751a56bc4
Will,Brooks,Ill,177.8,155,182.88,Orthodox,1986-10-08,4.26,59%,2.54,56%,2.08,51%,82%,0.3,18,4,0,NULL,http://ufcstats.com/fighter-details/b6e6c3b1dcaae0a1
Jarred,Brooks,The Monkey God,160.02,125,157.48,Switch,1993-05-02,2.12,46%,1.66,62%,4.54,57%,69%,0.6,13,2,0,NULL,http://ufcstats.com/fighter-details/81d9df19e255b8b6
Rob,Broughton,The Bear,187.96,265,187.96,Orthodox,1983-03-03,2.83,60%,2.54,51%,0.00,0%,26%,3.2,16,7,1,NULL,http://ufcstats.com/fighter-details/a7d687e6ecb30981
Lee,Brousseau,Manimal,185.42,205,NULL,,1974-10-04,0.00,0%,0.00,0%,0.00,0%,0%,0.0,5,3,0,NULL,http://ufcstats.com/fighter-details/0974d8d4053a7237
Matt,Brown,The Immortal,182.88,170,190.5,Orthodox,1981-01-10,3.76,55%,2.92,55%,1.68,46%,63%,1.3,26,19,0,NULL,http://ufcstats.com/fighter-details/31123249b0bbf52e
Mike,Brown,NULL,167.64000000000001,145,177.8,Orthodox,1975-09-08,2.98,44%,2.45,60%,3.23,40%,66%,0.6,26,9,0,NULL,http://ufcstats.com/fighter-details/e0b74df14f52cd15
Dominic,Brown,NULL,180.34,190,NULL,,1982-06-04,0.00,0%,0.00,0%,0.00,0%,0%,0.0,16,23,0,NULL,http://ufcstats.com/fighter-details/52b3ec072ad497a4
Todd,Brown,Bulldog,180.34,205,NULL,Orthodox,1976-12-13,2.15,45%,3.85,48%,0.00,0%,50%,0.0,16,4,0,1,http://ufcstats.com/fighter-details/9b68bf67c5695185
Terrell,Brown,NULL,NULL,185,NULL,,1983-04-13,0.00,0%,0.00,0%,0.00,0%,0%,0.0,3,1,0,NULL,http://ufcstats.com/fighter-details/85df85a4e276c90e
Chris,Brown,NULL,NULL,170,NULL,,NULL,0.00,0%,0.00,0%,0.00,0%,0%,0.0,10,1,0,NULL,http://ufcstats.com/fighter-details/9e2624ac992660c6
Frederick,Brown,NULL,182.88,235,NULL,,NULL,0.00,0%,0.00,0%,0.00,0%,0%,0.0,3,2,0,NULL,http://ufcstats.com/fighter-details/880c6b788266a3ef
Randy,Brown,Rudeboy,190.5,170,198.12,Orthodox,1990-07-08,4.38,47%,3.20,54%,0.72,39%,70%,0.6,19,5,0,NULL,http://ufcstats.com/fighter-details/c6aee362c7a7d482
Damien,Brown,Beatdown,177.8,155,172.72,Orthodox,1984-12-25,3.66,38%,4.86,50%,0.68,27%,53%,0.7,17,12,0,NULL,http://ufcstats.com/fighter-details/d024ed963e8bf7ea
TJ,Brown,Downtown,175.26,145,182.88,Switch,1990-05-22,3.37,44%,2.89,49%,3.41,57%,36%,1.3,17,11,0,NULL,http://ufcstats.com/fighter-details/d31cbcdd7d69536d
Humberto,Brown Morrison,NULL,177.8,145,NULL,,1984-11-03,1.71,50%,2.19,62%,1.43,25%,0%,0.0,4,6,0,NULL,http://ufcstats.com/fighter-details/e9e7e1c8ff289e1b
Travis,Browne,Hapa,198.12,255,200.66,Orthodox,1982-07-17,2.93,41%,4.31,42%,1.21,68%,75%,0.2,18,7,1,NULL,http://ufcstats.com/fighter-details/3236bf606fe9fa5b
Junie,Browning,NULL,175.26,155,NULL,Orthodox,1984-05-12,3.76,48%,1.76,66%,3.53,66%,0%,3.5,5,6,0,NULL,http://ufcstats.com/fighter-details/d74cba8566291bfa
Jules,Bruchez,NULL,182.88,205,NULL,Southpaw,1977-08-16,0.69,50%,5.52,46%,0.00,0%,0%,0.0,1,2,0,NULL,http://ufcstats.com/fighter-details/d1dcd4e96464a53d
Justin,Bruckmann,Loaf,175.26,170,NULL,Orthodox,NULL,0.59,66%,5.91,16%,0.00,0%,33%,0.0,7,3,0,NULL,http://ufcstats.com/fighter-details/5f8e00c27b7e7410
Cody,Brundage,NULL,182.88,185,182.88,Orthodox,1994-05-16,1.62,54%,2.63,41%,2.31,50%,68%,0.9,10,6,0,1,http://ufcstats.com/fighter-details/f14f644d41ade29f
Steve,Bruno,Hollywood,177.8,170,NULL,Orthodox,1981-11-03,0.96,52%,3.38,36%,1.94,25%,46%,0.4,15,6,0,NULL,http://ufcstats.com/fighter-details/2f3f12002564bb55
Fernando,Bruno,Acougueiro,167.64000000000001,145,NULL,,1982-02-24,1.75,39%,1.78,48%,2.02,22%,56%,0.5,15,4,0,NULL,http://ufcstats.com/fighter-details/b8c0f30ee9a98b69
Derek,Brunson,The One,185.42,185,195.58,Southpaw,1984-01-04,3.51,47%,3.05,51%,3.14,33%,85%,0.6,23,9,0,NULL,http://ufcstats.com/fighter-details/b1a3e0aca758b322
Josh,Bryant,The Beast,177.8,185,NULL,Orthodox,1980-04-23,1.10,20%,6.10,43%,0.00,0%,0%,0.0,15,4,0,NULL,http://ufcstats.com/fighter-details/01f022fa494188e2
Dennis,Bryant,The Beard,182.88,205,NULL,Orthodox,1985-10-18,10.56,59%,10.56,13%,0.00,0%,0%,0.0,5,2,0,NULL,http://ufcstats.com/fighter-details/3b17353b8002c7d0
Robert,Bryczek,NULL,182.88,185,190.5,Orthodox,1990-07-04,2.13,24%,4.47,60%,0.00,0%,100%,0.0,17,6,0,NULL,http://ufcstats.com/fighter-details/f96856f9d69fd7e4
