fighter_f_name,fighter_l_name,fighter_nickname,fighter_height_cm,fighter_weight_lbs,fighter_reach_cm,fighter_stance,fighter_dob,fighter_SLpM,fighter_Str. Acc.,fighter_SApM,fighter_Str. Def,fighter_TD Avg.,fighter_TD Acc.,fighter_TD Def.,fighter_Sub. Avg.,fighter_w,fighter_l,fighter_d,fighter_nc_dq,fighter_url
Yukio,Sakaguchi,NULL,175.26,185,NULL,Orthodox,1973-07-26,0.30,25%,2.40,50%,4.50,100%,0%,9.0,6,7,0,NULL,http://ufcstats.com/fighter-details/94a5aaf573f780ad
Augusto,Sakai,NULL,190.5,265,195.58,Orthodox,1991-05-09,4.60,49%,3.83,48%,0.23,40%,56%,0.0,16,5,1,NULL,http://ufcstats.com/fighter-details/441eacbe20e0e80b
Alessio,Sakara,Legionarius,182.88,185,182.88,Orthodox,1981-09-02,3.96,47%,2.80,59%,2.18,78%,62%,0.0,19,11,0,2,http://ufcstats.com/fighter-details/7f955f71fa2ce7ac
Wataru,Sakata,NULL,175.26,195,NULL,Southpaw,1973-03-11,1.11,61%,2.08,31%,0.00,0%,0%,0.0,11,14,0,NULL,http://ufcstats.com/fighter-details/d7907a9a968e4d29
Gokhan,Saki,The Rebel,182.88,205,185.42,Orthodox,1983-10-19,7.09,58%,4.57,53%,0.00,0%,100%,0.0,1,2,0,NULL,http://ufcstats.com/fighter-details/4690d47bf725fd98
Kazushi,Sakuraba,The Gracie Hunter,182.88,185,NULL,Southpaw,1969-07-14,1.26,41%,2.03,51%,1.26,31%,48%,1.7,26,17,1,2,http://ufcstats.com/fighter-details/9b5b5a75523728f3
Hayato,Sakurai,Mach,170.18,168,NULL,Orthodox,1975-08-24,2.45,49%,1.94,59%,1.87,69%,56%,0.3,38,13,2,NULL,http://ufcstats.com/fighter-details/85e26e2468b4e82f
Ryuta,Sakurai,NULL,170.18,183,NULL,Orthodox,NULL,1.80,48%,3.44,58%,0.52,100%,36%,1.6,24,24,6,NULL,http://ufcstats.com/fighter-details/ff9578cdbfabd323
Justin,Salas,J-Bomb,172.72,155,177.8,Southpaw,1982-03-13,3.42,43%,2.96,68%,2.43,20%,0%,0.0,12,7,0,NULL,http://ufcstats.com/fighter-details/9b198c73e3d0d289
Ivan,Salaverry,NULL,182.88,185,NULL,Orthodox,1971-01-11,3.01,47%,1.19,76%,0.49,18%,36%,2.5,14,9,0,NULL,http://ufcstats.com/fighter-details/394f55ebca199124
Roman,Salazar,El Gallito,170.18,135,NULL,Orthodox,1988-02-21,1.95,39%,2.89,57%,1.77,18%,50%,0.0,10,6,0,1,http://ufcstats.com/fighter-details/72c4b253d2f5ebf2
Luis,Saldana,NULL,180.34,145,185.42,Orthodox,1991-01-27,5.16,50%,3.65,60%,0.64,17%,44%,0.2,16,7,1,NULL,http://ufcstats.com/fighter-details/12e0fdc606f7e274
John,Salgado,Greco,177.8,170,NULL,,NULL,0.99,50%,1.86,40%,0.00,0%,50%,0.0,4,8,1,NULL,http://ufcstats.com/fighter-details/3e36811b7bc1f6ad
Muslim,Salikhov,King of Kung Fu,180.34,170,177.8,Orthodox,1984-06-09,3.32,49%,2.92,63%,1.12,33%,71%,0.0,20,5,0,NULL,http://ufcstats.com/fighter-details/447f9858ae78f921
Gabriel,Salinas-Jones,NULL,185.42,245,NULL,,1984-11-20,0.00,0%,0.00,0%,0.00,0%,0%,0.0,5,2,1,NULL,http://ufcstats.com/fighter-details/74d5f71eeb0c66c7
Brandon,Saling,White Steel,177.8,170,NULL,,1986-01-28,2.88,40%,6.08,20%,0.00,0%,57%,0.0,8,6,0,NULL,http://ufcstats.com/fighter-details/a049aa06508b9c7b
Quillan,Salkilld,NULL,182.88,155,190.5,Orthodox,1999-12-28,5.40,55%,4.27,43%,9.00,40%,100%,1.0,7,1,0,NULL,http://ufcstats.com/fighter-details/17734443a833cdf7
Sean,Salmon,NULL,177.8,185,NULL,Southpaw,1977-09-11,1.49,33%,2.03,65%,4.06,50%,0%,0.0,18,21,0,NULL,http://ufcstats.com/fighter-details/7c0847d3854a95f2
Boston,Salmon,Boom Boom,175.26,135,175.26,Southpaw,1990-11-20,4.13,37%,7.75,59%,0.00,0%,100%,0.0,6,3,0,NULL,http://ufcstats.com/fighter-details/98e946879ba20c0f
John,Salter,NULL,185.42,185,187.96,Southpaw,1985-03-21,1.68,32%,1.68,68%,2.85,46%,66%,0.5,14,3,0,NULL,http://ufcstats.com/fighter-details/010986ee359fb863
Vinicius,Salvador,NULL,170.18,135,177.8,Southpaw,1996-07-24,5.48,43%,6.50,48%,0.36,11%,86%,0.0,14,7,0,NULL,http://ufcstats.com/fighter-details/65cdf4ec31143d86
Dylan,Salvador,NULL,175.26,155,175.26,Southpaw,1993-05-20,4.34,37%,11.57,46%,0.00,0%,0%,0.0,5,2,0,NULL,http://ufcstats.com/fighter-details/a7a3fb5f6c67b122
Josh,Samman,Anqa,190.5,185,200.66,Orthodox,1988-03-14,2.08,52%,2.47,34%,1.09,33%,33%,0.4,13,4,0,NULL,http://ufcstats.com/fighter-details/9deff9e3e8d94d47
Johnny,Sampaio,NULL,172.72,170,NULL,Orthodox,1975-09-11,1.32,40%,2.64,50%,9.89,50%,0%,9.9,3,1,0,NULL,http://ufcstats.com/fighter-details/b23388ff8ac6637b
Josh,Sampo,The Gremlin,162.56,125,162.56,Orthodox,1984-07-24,1.99,36%,2.96,55%,1.06,33%,40%,2.1,11,5,0,NULL,http://ufcstats.com/fighter-details/f65dcb22dada2223
Josh,San Diego,JSD,177.8,135,NULL,,NULL,0.00,0%,0.00,0%,0.00,0%,0%,0.0,8,3,0,NULL,http://ufcstats.com/fighter-details/983e281d257c24dc
Diego,Sanchez,Nightmare,177.8,170,182.88,Southpaw,1981-12-31,2.69,37%,3.02,56%,1.51,24%,46%,0.8,31,13,0,NULL,http://ufcstats.com/fighter-details/82e7929bf6c2b689
Eddie,Sanchez,The Manic Hispanic,187.96,230,187.96,Orthodox,1982-11-04,3.45,43%,3.30,43%,1.13,26%,42%,0.0,15,8,0,NULL,http://ufcstats.com/fighter-details/7f0b4a75ef3039a3
Julian,Sanchez,NULL,190.5,300,NULL,Orthodox,NULL,0.00,0%,0.00,0%,0.00,0%,0%,0.0,0,1,0,NULL,http://ufcstats.com/fighter-details/c6da1c24fe473418
Bobby,Sanchez,The Kid,170.18,155,NULL,Orthodox,NULL,0.00,0%,0.00,100%,0.00,0%,100%,0.0,10,35,0,NULL,http://ufcstats.com/fighter-details/6a0047ac8c99fece
Donald,Sanchez,NULL,177.8,145,NULL,,1984-08-18,0.58,50%,1.16,55%,0.00,0%,50%,0.0,31,17,0,NULL,http://ufcstats.com/fighter-details/bb140b121283acbb
Joby,Sanchez,NULL,167.64000000000001,135,172.72,Orthodox,1991-06-24,3.22,36%,2.82,63%,0.95,71%,51%,0.4,11,4,0,NULL,http://ufcstats.com/fighter-details/b12fc8a41e82d3a2
Emmanuel,Sanchez,El Matador,175.26,145,180.34,,1990-08-11,4.45,35%,4.17,55%,0.25,6%,16%,0.5,15,3,0,NULL,http://ufcstats.com/fighter-details/243a336eaa2d2eb4
Erick,Sanchez,NULL,177.8,145,NULL,,1990-10-04,0.00,0%,0.00,0%,0.00,0%,0%,0.0,8,3,0,NULL,http://ufcstats.com/fighter-details/ef3663798164adf0
Andrew,Sanchez,El Dirte,185.42,185,187.96,Orthodox,1988-04-08,4.30,43%,5.10,50%,2.55,36%,100%,0.0,13,7,0,NULL,http://ufcstats.com/fighter-details/fccf811c1e8b01c7
Robert,Sanchez,Littlefury,167.64000000000001,125,167.64,Orthodox,1986-03-05,0.96,40%,1.78,46%,3.61,62%,50%,0.7,8,2,0,NULL,http://ufcstats.com/fighter-details/546f8599a63c29da
Jesse,Sanders,NULL,182.88,170,NULL,Orthodox,NULL,0.00,0%,6.45,35%,0.00,0%,50%,0.0,23,7,0,NULL,http://ufcstats.com/fighter-details/59aaf2730b84698a
Luke,Sanders,Cool Hand,167.64000000000001,135,170.18,Southpaw,1985-12-12,6.61,52%,4.37,50%,0.71,30%,72%,0.2,13,5,0,NULL,http://ufcstats.com/fighter-details/96428b9e9bd048ea
Jerrod,Sanders,J-Reazie,172.72,135,182.88,Orthodox,1979-10-01,0.88,64%,1.14,46%,2.20,33%,50%,1.6,16,3,0,1,http://ufcstats.com/fighter-details/12f1b140e248bdb9
Cory,Sandhagen,NULL,180.34,135,177.8,Switch,1992-04-20,5.02,44%,3.46,56%,1.19,32%,63%,0.3,17,5,0,NULL,http://ufcstats.com/fighter-details/65f09bacd3957381
Hugo,Sandoval,NULL,NULL,135,NULL,,NULL,0.00,0%,0.00,0%,0.00,0%,0%,0.0,2,3,0,NULL,http://ufcstats.com/fighter-details/9d51bcc281aa0514
Raul,Sandoval,NULL,NULL,130,NULL,,NULL,0.00,0%,0.00,0%,0.00,0%,0%,0.0,3,3,0,NULL,http://ufcstats.com/fighter-details/f9ad10f6a49e5452
Joseph,Sandoval,NULL,170.18,135,NULL,Southpaw,1986-05-11,1.82,42%,12.12,60%,0.00,0%,0%,0.0,7,7,0,NULL,http://ufcstats.com/fighter-details/696002b59f09d73b
Hector,Sandoval,Kid Alex,157.48000000000002,125,162.56,Orthodox,1986-07-19,3.31,52%,2.33,65%,3.49,25%,71%,1.4,14,4,0,NULL,http://ufcstats.com/fighter-details/449c890bd90f3374
Chris,Sanford,NULL,180.34,185,NULL,Orthodox,1968-03-12,0.23,50%,3.22,17%,0.00,0%,0%,3.5,5,1,0,NULL,http://ufcstats.com/fighter-details/29f935654825331b
Roldan,Sangcha'an,The Executioner,162.56,125,NULL,Orthodox,1990-12-04,2.71,46%,2.15,51%,1.94,60%,68%,0.0,4,2,0,NULL,http://ufcstats.com/fighter-details/57887765f831e228
Yuhi,Sano,NULL,180.34,243,NULL,Orthodox,1965-02-02,0.00,0%,0.00,0%,0.00,0%,0%,0.0,0,4,0,NULL,http://ufcstats.com/fighter-details/4c12aa7ca246e7a4
Martin,Sano,Spartan,180.34,170,190.5,Orthodox,1991-05-30,4.00,33%,12.00,40%,0.00,0%,0%,0.0,4,3,1,NULL,http://ufcstats.com/fighter-details/16a64f93f6678b7b
Jonathan,Santa Maria,NULL,175.26,125,NULL,,NULL,3.60,51%,2.53,74%,0.00,0%,80%,0.0,3,4,0,NULL,http://ufcstats.com/fighter-details/3143e5daff9e5b71
Duda,Santana,Cowboyzinha,170.18,145,185.42,Orthodox,1996-01-10,6.01,39%,2.72,73%,6.44,60%,0%,0.0,3,1,0,NULL,http://ufcstats.com/fighter-details/d6ead04919a894b1
