id,f_1_odd,f_2_odd,fight_round,event_city,event_state,f_1_gender,f_2_gender,f_1_weight_class,f_2_weight_class,f_1_fighter_stance,f_2_fighter_stance,f_1_prev_result,f_2_prev_result,age_diff,height_diff,weight_diff,win_ratio_diff,prev_win_streak_continuous_diff,prev_loss_streak_continuous_diff,avg_total_strike_succ_ratio_diff,avg_sig_strikes_succ_ratio_diff,avg_submission_ratio_diff,avg_reversal_ratio_diff,avg_head_strikes_succ_ratio_diff,avg_body_strikes_succ_ratio_diff,avg_leg_strikes_succ_ratio_diff,avg_distance_strikes_succ_ratio_diff,avg_clinch_strikes_succ_ratio_diff,avg_ground_strikes_succ_ratio_diff,label
561,,,3,Cincinnati,Ohio,M,M,Heavyweight,Heavyweight,Orthodox,Orthodox,Decision,KO/TKO,1.5999999999999979,12.699999999999989,35.0,-0.2727272727272727,-4,-3,-0.1626733043140151,-0.18729403577635068,-0.1590909090909091,0.09090909090909091,-0.14487114445992427,0.19281045751633985,0.11569561390989958,-0.1373151544892774,-0.19072638985400703,0.10191798941798946,1
562,,,5,Cincinnati,Ohio,M,M,Middleweight,Middleweight,Southpaw,Southpaw,KO/TKO,Decision,-0.5200000000000031,2.5400000000000205,0.0,0.09999999999999998,2,-2,0.30032589935376097,0.29662178332947275,0.3,-0.04999999999999999,0.3079864722308886,-0.14024767801857585,0.12522045855379194,0.3330644553674858,0.317473200444215,0.056875763125763146,1
563,,,3,Newark,New Jersey,M,M,Welterweight,Welterweight,Switch,Switch,,Submission,12.080000000000002,-22.859999999999985,-15.0,-1.0,-1,-1,-0.6842105263157895,-0.5714285714285714,-2.0,0.0,-0.625,-0.75,0.0,-0.5,-0.25,-1.0,1
564,,,3,Newark,New Jersey,M,M,Lightweight,Lightweight,Orthodox,Orthodox,Decision,Decision,7.290000000000003,7.6200000000000045,0.0,0.0,0,1,0.11223591549295775,0.07754629629629628,0.0,0.0,0.12437810945273634,-0.5555555555555556,0.19999999999999996,0.07855436081242531,-0.25,0.0,1
565,,,3,Newark,New Jersey,M,M,Lightweight,Lightweight,Orthodox,Orthodox,Submission,,-14.57,10.160000000000025,20.0,1.0,2,0,0.7948051948051948,0.5909090909090909,3.0,0.5,0.5590909090909091,1.0,0.0,0.375,1.0,0.9166666666666667,1
566,,,3,Newark,New Jersey,M,M,Welterweight,Welterweight,Orthodox,Orthodox,KO/TKO,Submission,-9.130000000000003,-5.0800000000000125,0.0,0.380952380952381,2,-1,-0.11630509360665331,0.07412503536115034,-1.0952380952380953,-0.6666666666666666,0.12249166786757049,0.03742969396195195,-0.2759103641456583,0.16697407573532974,0.02285996320725081,-0.05524745128403663,1
567,,,3,Newark,New Jersey,M,M,Lightweight,Lightweight,Orthodox,Southpaw,KO/TKO,Decision,-5.449999999999999,-2.5400000000000205,-20.0,0.2857142857142857,1,-1,0.11253412849129152,0.08739537442758843,-0.8571428571428571,0.35714285714285715,0.15657016586615696,0.02852147852147846,-0.06394300144300147,-0.12744340802179804,0.1879406045486569,-0.007396950875211639,1
568,,,3,Newark,New Jersey,M,M,Middleweight,Middleweight,Orthodox,Orthodox,Submission,Decision,-2.9899999999999984,2.539999999999992,20.0,0.25,2,0,0.034859222337945805,0.1505415670960346,0.0,0.0,0.162083633958634,-0.40148809523809526,0.0,-0.07950575994054254,0.07260101010101017,0.1722235572109415,1
569,,,3,Newark,New Jersey,M,M,Welterweight,Welterweight,Orthodox,Orthodox,Decision,,-5.890000000000001,2.5400000000000205,0.0,0.7777777777777778,2,0,0.5739461208528921,0.41741170714428527,1.0,0.2222222222222222,0.3888840042028455,0.9077380952380952,0.8,0.2984431139036402,0.5796957671957672,0.5502876984126984,1
570,,,3,Newark,New Jersey,M,M,Light Heavyweight,Light Heavyweight,Orthodox,Orthodox,KO/TKO,KO/TKO,-10.649999999999999,5.0800000000000125,0.0,0.0,0,-2,0.06590909090909092,0.05357142857142849,0.5,0.0,-0.2591673032849503,0.11111111111111116,-0.6,0.13458528951486692,-0.21568627450980393,-0.6704545454545454,1
571,,,3,Newark,New Jersey,M,M,Light Heavyweight,Light Heavyweight,Orthodox,Orthodox,KO/TKO,Decision,-0.5799999999999983,-2.539999999999992,20.0,0.0,1,-4,-0.02490555142326334,-0.057683303202428926,-1.0,-0.5,-0.045641031254275044,-0.04837301587301579,-0.9166666666666666,-0.19177593623164957,-0.12967032967032965,-0.017622461170848203,1
572,,,3,Las Vegas,Nevada,M,M,Welterweight,Welterweight,Orthodox,Orthodox,Submission,,3.1900000000000013,-5.0800000000000125,0.0,0.4,0,2,0.46772220325480823,0.34068627450980393,0.2,0.8,0.17803030303030304,0.8333333333333334,0.65,0.2853448275862069,0.6363636363636364,0.27586206896551724,1
573,,,3,Las Vegas,Nevada,M,M,Welterweight,Welterweight,Orthodox,Southpaw,,,-1.0399999999999991,-12.699999999999989,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
574,,,3,Las Vegas,Nevada,M,M,Welterweight,Welterweight,Orthodox,Orthodox,,,-7.769999999999996,-2.539999999999992,-15.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
575,,,3,Las Vegas,Nevada,M,M,Welterweight,Welterweight,Orthodox,Orthodox,,,-5.179999999999996,2.539999999999992,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
576,,,3,Las Vegas,Nevada,M,M,Welterweight,Welterweight,Orthodox,Orthodox,,,-2.3099999999999987,12.700000000000017,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
577,,,3,Las Vegas,Nevada,M,M,Welterweight,Welterweight,Orthodox,Orthodox,,,0.8100000000000023,0.0,-15.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
